68,16,-16
67,10,-1
58,7,-9
69,14,-7
71,15,-25
63,13,-45
47,25,-39
48,37,-33
47,38,-31
47,40,-29
56,45,-26
68,34,-22
62,27,-19
44,21,-15
41,19,-13
42,20,-13
50,23,-9
56,26,-6
50,34,-4
46,36,-6
51,38,-16
75,37,-16
89,40,-8
79,39,-10
73,37,-14
73,40,-14
56,38,-2
45,45,1
47,47,3
46,39,-2
57,10,-6
69,-1,-2
69,-4,0
44,-6,17
33,-7,26
37,-10,37
36,-11,50
25,-8,52
11,1,58
22,10,66
5,22,63
7,24,67
19,30,67
28,21,61
37,20,54
18,30,73
19,43,86
49,19,73
16,29,52
0,45,49
15,35,49
25,28,53
15,27,46
35,28,40
19,30,37
23,28,46
47,21,57
38,19,58
8,15,18
15,15,23
71,28,93
61,24,76
42,24,48
12,27,41
10,34,45
14,43,46
52,59,55
62,67,60
61,62,45
57,59,39
62,54,35
59,48,34
53,39,30
49,30,28
49,27,27
44,20,28
42,17,30
41,12,34
38,8,37
35,6,36
25,5,36
22,7,38
27,15,47
40,22,55
50,26,60
52,44,70
44,60,76
26,72,74
17,70,61
15,69,53
17,61,41
18,58,37
21,50,34
19,45,31
17,43,30
12,42,26
10,43,23
9,45,17
10,51,11
11,56,9
21,73,20
32,79,16
29,87,1
31,94,8
35,87,15
26,75,19
17,71,15
1,68,9
1,61,10
7,56,12
25,48,13
29,44,12
32,40,15
31,39,18
28,37,18
22,41,19
22,48,22
23,71,23
40,114,34
47,113,39
32,74,35
23,79,32
4,104,14
-3,104,3
1,96,3
10,73,14
13,65,19
14,65,20
11,67,9
8,66,4
5,66,3
5,66,3
11,62,3
13,55,5
15,52,5
34,50,12
51,51,23
50,44,44
34,35,54
25,36,55
5,48,53
0,52,50
2,58,47
12,63,46
18,62,44
24,52,38
24,49,37
22,45,38
18,44,38
18,44,41
13,46,42
11,48,41
5,56,37
-1,61,33
-3,61,32
-8,64,29
-7,66,30
-7,67,33
-6,65,31
-3,62,30
1,53,29
3,48,30
17,45,33
24,48,36
37,50,41
46,60,44
40,54,41
40,49,38
44,41,36
45,36,34
44,27,31
42,25,29
39,28,27
33,38,24
29,44,23
22,56,20
19,64,19
