,0,1,2
198,1517.406249,0.625,1647183112.406249
199,1518.140624,0.734375,1647183113.140624
200,1518.796874,0.65625,1647183113.796874
201,1519.468749,0.671875,1647183114.468749
202,1520.140624,0.671875,1647183115.140624
203,1520.812499,0.671875,1647183115.812499
204,1534.187499,0.65625,1647183129.187499
205,1534.843749,0.65625,1647183129.843749
206,1555.796874,0.6875,1647183150.796874
207,1556.453124,0.65625,1647183151.453124
208,1557.093749,0.640625,1647183152.093749
209,1557.734374,0.640625,1647183152.734374
210,1558.374999,0.640625,1647183153.374999
211,1573.999999,0.625,1647183168.999999
212,1574.624999,0.625,1647183169.624999
213,1575.281249,0.65625,1647183170.281249
214,1575.906249,0.625,1647183170.906249
215,1576.546874,0.640625,1647183171.546874
216,1577.203124,0.65625,1647183172.203124
217,1577.859374,0.65625,1647183172.859374
218,1578.515624,0.65625,1647183173.515624
219,1579.171874,0.65625,1647183174.171874
220,1579.828124,0.65625,1647183174.828124
221,1580.484374,0.65625,1647183175.484374
222,1581.140624,0.65625,1647183176.140624
223,1623.015624,0.609375,1647183218.015624
224,1623.718749,0.703125,1647183218.718749
225,1624.296874,0.578125,1647183219.296874
226,1624.968749,0.671875,1647183219.968749
227,1625.609374,0.640625,1647183220.609374
228,1626.265624,0.65625,1647183221.265624
229,1626.890624,0.625,1647183221.890624
230,1627.546874,0.65625,1647183222.546874
231,1628.187499,0.640625,1647183223.187499
232,1628.828124,0.640625,1647183223.828124
233,1629.468749,0.640625,1647183224.468749
234,1630.140624,0.671875,1647183225.140624
235,1630.796874,0.65625,1647183225.796874
236,1638.734374,0.671875,1647183233.734374
237,1639.374999,0.640625,1647183234.374999
238,1640.015624,0.640625,1647183235.015624
239,1640.656249,0.640625,1647183235.656249
240,1641.328124,0.671875,1647183236.328124
241,1641.984374,0.65625,1647183236.984374
242,1658.109374,0.640625,1647183253.109374
243,1658.765624,0.65625,1647183253.765624
244,1659.437499,0.671875,1647183254.437499
245,1660.124999,0.6875,1647183255.124999
246,1660.781249,0.65625,1647183255.781249
247,1661.374999,0.59375,1647183256.374999
248,1662.140624,0.765625,1647183257.140624
249,1662.734374,0.59375,1647183257.734374
250,1670.562499,0.65625,1647183265.562499
251,1671.218749,0.65625,1647183266.218749
252,1671.890624,0.671875,1647183266.890624
253,1672.515624,0.625,1647183267.515624
254,1673.171874,0.65625,1647183268.171874
255,1673.828124,0.65625,1647183268.828124
256,1674.499999,0.671875,1647183269.499999
257,1675.171874,0.671875,1647183270.171874
258,1675.843749,0.671875,1647183270.843749
259,1676.468749,0.625,1647183271.468749
260,1677.124999,0.65625,1647183272.124999
261,1677.828124,0.703125,1647183272.828124
262,1678.484374,0.65625,1647183273.484374
263,1679.156249,0.671875,1647183274.156249
264,1679.828124,0.671875,1647183274.828124
265,1680.499999,0.671875,1647183275.499999
266,1681.187499,0.6875,1647183276.187499
267,1681.874999,0.6875,1647183276.874999
268,1682.578124,0.703125,1647183277.578124
269,1683.249999,0.671875,1647183278.249999
270,1683.921874,0.671875,1647183278.921874
271,1684.593749,0.671875,1647183279.593749
272,1685.249999,0.65625,1647183280.249999
273,1685.906249,0.65625,1647183280.906249
274,1686.609374,0.703125,1647183281.609374
275,1687.249999,0.640625,1647183282.249999
276,1687.906249,0.65625,1647183282.906249
277,1688.593749,0.6875,1647183283.593749
278,1689.249999,0.65625,1647183284.249999
279,1689.906249,0.65625,1647183284.906249
280,1690.578124,0.671875,1647183285.578124
